RPM	Hour	TempOffset	CoolerPower	MachinePower	MaxError	AvgError
1500	2	2.5	2094.5	4077.56	-7.602	-4.03325
1500	2	5	1987.45	4377.77	-7.604	-4.6463
1500	2	8.5	1862.33	4568.95	-14.817	-9.224
6000	2	2.5	2088	4249.49	-10.55	-6.626
6000	2	5	2003.02	4686.63	-10.77	-7.218
6000	2	8.5	1944	4748.66	-15.085	-10.125
12000	2	2.5	2265.5	5049.54	-41.64	-32.864
12000	2	5	2019.68	5276.82	-42.113	-31.313
12000	2	8.5	1928.5	5482.38	-44.896	-34.192
						
1500	1	5	991.74	2201.21	-5.119	-2.857
6000	1	5	1000.53	2343.33	-7.619	-5.078
12000	1	5	1009.84	2703.04	-35.958	-23.912
						
1500	1	2.5	1047.62	2040.61	-4.389	-2.189
6000	1	2.5	1044.26	2129.44	-7.127	-4.206
12000	1	2.5	1132.87	2582.03	-37.643	-26.117
						
1500	1	8.5	931.88	2283.17	-10.435	-5.57
6000	1	8.5	973	2375.93	-11.348	-6.385
12000	1	8.5	996.13	2779.89	-38.567	-26.562
						
						
						
						
6000	2	4.5				
6000	2	7				
						
12000	2	4.5				
12000	2	7				
